ITEM_URL_1	ITEM_NAME_1	ITEM_URL_2	ITEM_NAME_2	ANNOTATOR1_ID	ANNOTATOR1_LABEL	ANNOTATOR2_ID	ANNOTATOR2_LABEL	ANNOTATOR3_ID	ANNOTATOR3_LABEL
https://www.askul.co.jp/p/235105/	リケンラップ 30cm×100m 1本 リケンファブロ	https://www.askul.co.jp/p/365487/	ペーパータオル　タウパーソフト M 中判 ダブル パルプ100％ FSC認証紙 1個（200組入） オリジナル	9	8	11	9	10	8
https://www.askul.co.jp/p/6224996/	アスクル　オリジナルクラフト封筒　角2（A4）　茶色　100枚 オリジナル	https://www.askul.co.jp/p/552597/	油性ボールペン ジェットストリーム単色 0.5mm 白軸 黒インク 10本 SXN-150-05 三菱鉛筆uni ユニ	9	7	11	7	10	8
https://www.askul.co.jp/p/639151/	アスクル　ゼムクリップ　大　1箱（1000本：100本入×10袋） オリジナル	https://www.askul.co.jp/p/J980770/	アスクル　強粘着ふせん　50×50mm　ビビッドカラー　1箱（5冊入） オリジナル	9	8	11	9	10	8
https://www.askul.co.jp/p/693399/	マジックリン 除菌プラス 業務用詰替4.5L 1箱（4個入） 花王【厨房・ホール用洗剤】	https://www.askul.co.jp/p/692159/	花王　専用空スプレー容器　白　046901	9	3	11	3	10	3
https://www.askul.co.jp/p/2883033/	ペーパータオル アスクル オリジナルペーパータオル 中判・シングル パルプ100％ PEFC認証紙 1箱（200枚入×30個） オリジナル	https://www.askul.co.jp/p/678928/	ボールペン替芯 ジェットストリーム多色・多機能ボールペン用 0.5mm 黒 10本 SXR-80-05 油性 三菱鉛筆uni ユニ	9	8	11	8	10	8
https://www.askul.co.jp/p/1605096/	トイレクイックル　消臭ストロング　詰替え　1パック（20枚入）　花王　311887	https://www.askul.co.jp/p/374191/	キッチン泡ハイター 本体400mL 1本 花王	9	8	11	9	10	8
https://www.askul.co.jp/p/042243/	コクヨ テープのり ドットライナー 詰め替えテープ しっかり貼るタイプ 1個 タ-D400-08N	https://www.askul.co.jp/p/984449/	液体ブルーレットおくだけ　せっけんの香り　付替用70ml 小林製薬	9	8	11	8	10	8
https://www.askul.co.jp/p/593179/	アスクル　オリジナルスティックのり　約22g　1箱（10本入） オリジナル	https://www.askul.co.jp/p/386441/	コクヨ　タックインデックス　中（23×29mm）　青　1袋（120片入）　インデックスシール　タ-21B	9	8	11	8	10	8
https://www.askul.co.jp/p/2824542/	トイレットペーパー トイレットロール ソフト＆ピュア ダブルピンク 60m 桜の香り パルプ FSC認証紙 1パック（6ロール入）オリジナル	https://www.askul.co.jp/p/2822388/	ファーストレイト　紙コップ　ホワイト　205ml（7オンス）　1袋（100個入）	9	8	11	8	10	8
https://www.askul.co.jp/p/328616/	ヤマト　エコミュ　アラビックヤマト　スタンダード　50ml　EーNAー150	https://www.askul.co.jp/p/337393/	シャチハタ補充インク キャップレス9・Xスタンパー用 XLR-20N 朱色 20ml 1本	9	8	11	8	10	8
https://www.askul.co.jp/p/4596473/	【転倒防止】アイリスオーヤマ　家具転倒防止伸縮棒　I型　SS　高さ230～300ｍｍ　KTB-23（248060）　1セット（2本入）	https://www.askul.co.jp/p/4596437/	【転倒防止】アイリスオーヤマ　家具転倒防止伸縮棒　I型　S　高さ300～400mm　KTB-30（248051）　1セット（2本入）	9	1	11	1	10	1
https://www.askul.co.jp/p/337366/	シャチハタ補充インク（カートリッジ）ネーム9用 XLR-9N 朱色 2本（2本入×1パック）	https://www.askul.co.jp/p/639133/	アスクル　ゼムクリップ　小　1箱（1000本：100本入×10袋） オリジナル	9	8	11	8	10	8
https://www.askul.co.jp/p/1179771/	ソニック　名札用表示面　タテ型　チャックタイプ　NF-578-1　1袋（10枚入）	https://www.askul.co.jp/p/384464/	ソニック　プラスチックバンドクリップ両用10個入　NF-589-GL　1袋（10個入）	9	4	11	4	10	4
https://www.askul.co.jp/p/P235274/	ブリックス 280ミニS ブラウン 9008 吉川国工業所	https://www.askul.co.jp/p/9643825/	吉川国工業所　ブリックス　仕切り板　ミドルL用　9102　1袋（2枚入）	9	5	11	5	10	
https://www.askul.co.jp/p/904401/	エンボスおしぼり 平判 1セット（100枚：50枚入×2袋） オリジナル	https://www.askul.co.jp/p/953086/	花王 ワンダフル4.5L 051752	9	8	11	8	10	8
https://www.askul.co.jp/p/E756147/	ティッシュペーパー 150組（5箱入）×1パック オリジナルティッシュ スマートコンパクトS PEFC認証紙 1パック（5箱入） アスクル オリジナル	https://www.askul.co.jp/p/6224969/	アスクル　オリジナルクラフト封筒　長3〒枠あり　茶色　100枚 オリジナル	9	8	11	8	10	8
https://www.askul.co.jp/p/1272195/	トップクリアリキッド本体　900g　ライオン	https://www.askul.co.jp/p/445917/	トップクリアリキッド　業務用4kg（注ぎ口ノズル付）　1箱（3個入）	9	2	11	1	10	1
https://www.askul.co.jp/p/5370434/	ニチネン マイボンベL 3本パック 1セット（15本：3本入×5パック）	https://www.askul.co.jp/p/AR90608/	ニチネン マイコンログッドシェフ カセットコンロ　1セット（4台）	9	3	11	4	10	4
